name,municipality
1. súkromné gymnázium v Bratislave,Bratislava-Ružinov
"Arcibiskupské gymnázium biskupa P. Jantauscha ako organizačná zložka Arcibiskupského gymnázia biskupa P. Jantauscha, Str",Trnava
"Arcibiskupské gymnázium biskupa P.Jantauscha ako organizačná zložka Arcibiskupského gymnázia biskupa P. Jantauscha, Stre",Trnava
Bilingválne gymnázium C. S. Lewisa,Bratislava-Petržalka
Bilingválne slovensko - španielske gymnázium,Nové Mesto nad Váhom
Centrum voľného času ako súčasť Gymnázia sv.Edity Steinovej,Košice-Dargovských hrdino
Centrum voľného času ako súčasť Strednej odbornej školy agrotechnickej - Agrotechnikai Szakközépiskola,Moldava nad Bodvou
"Cirkevná materská škola sv. Jána Pavla II. ako organizačná zložka Arcibiskupského gymnázia biskupa P. Jantauscha, Stredn",Trnava
Cirkevné gymnázium Andreja Radlinského ako organizačná zložka Cirkevnej spojenej školy,Dolný Kubín
Cirkevné gymnázium F. Fegyvernekiho s vyučovacím jazykom maďarským - Fegyverneki Ferenc Egyházi Gimnázium - ako organiza,Šahy
Cirkevné gymnázium Marianum s vyučovacím jazykom maďarským - Marianum Egyházi Gimnázium,Komárno
Cirkevné gymnázium sv.Michala Archanjela ako organizačná zložka Cirkevnej spojenej školy,Piešťany
Elokované pracovisko ako súčasť Gymnázium a Stredná odborná škola techniky a služieb,Bystrany
Elokované pracovisko ako súčasť Piaristickej spojenej školy Františka Hanáka - stredná odborná škola,Prievidza
Elokované pracovisko ako súčasť Spojenej školy - Odborné učilište,Markušovce
Evanjelické gymnázium,Banská Bystrica
Evanjelické gymnázium Jana Amosa Komenského,Košice-Staré Mesto
Evanjelické gymnázium Juraja Tranovského ako organizačná zložka Evanjelickej spojenej školy,Liptovský Mikuláš
Evanjelické gymnázium ako organizačná zložka Evanjelickej spojenej školy,Martin
Gymnázium,Žilina
"Gymnázium - Gimnázium, Gymnázium Jána Amosa Komenského - Comenius Gimnázium a Stredná odborná škola techniky, služieb a",Štúrovo
Gymnázium Alberta Einsteina,Bratislava-Petržalka
Gymnázium Antona Bernoláka,Senec
Gymnázium Dominika Tatarku,Považská Bystrica
Gymnázium Františka Víťazoslava Sasinka,Skalica
Gymnázium Ivana Bellu,Handlová
Gymnázium Ivana Kupca,Hlohovec
Gymnázium Jozefa Cígera Hronského ako organizačná zložka Spojenej školy,Vrútky
"Gymnázium Jána Amosa Komenského - Comenius Gimnázium, ako organizačná zložka Gymnázium - Gimnázium, Gymnázium Jána Amosa",Želiezovce
Gymnázium Jána Hollého,Trnava
Gymnázium Ladislava Novomeského,Senica
Gymnázium Leonarda Stöckela,Bardejov
Gymnázium M. R. Štefánika,Šamorín
Gymnázium Mateja Bela,Zvolen
Gymnázium Milana Rastislava Štefánika,Košice-Staré Mesto
Gymnázium Pierra de Coubertina,Piešťany
Gymnázium Vavrinca Benedikta Nedožerského,Prievidza
Gymnázium Vojtecha Mihálika,Sereď
Gymnázium Zoltána Kodálya s vyučovacím jazykom maďarským - Kodály Zoltán Gimnázium,Galanta
Gymnázium a Obchodná akadémia,Trebišov
"Gymnázium a Stredná odborná škola techniky a služieb - Műszaki és Szolgáltatóipari Szakközépiskola, Mládežnícka 22, Šahy",Šahy
Gymnázium ako organizačná zložka Spojenej školy Juraja Turza,Turzovka
Gymnázium bl. Sáry Salkaházi s vyučovacím jazykom maďarským - Boldog Salkaházi Sára Magyar Tannyelvű Egyházi Gimnázium,Moldava nad Bodvou
Gymnázium bl. biskupa Gojdiča ako organizačná zložka Spojenej školy bl. biskupa Gojdiča,Prešov
Gymnázium pre žiakov so sluchovým postihnutím internátne,Kremnica
Gymnázium sv. Andreja,Ružomberok
Gymnázium sv. Cyrila a Metoda ako organizačná zložka Spojenej katolíckej školy,Nitra
Gymnázium sv. Františka Assiského,Levoča
Gymnázium sv. Františka z Assisi,Žilina
Gymnázium sv. Jána Bosca ako organizačná zložka Cirkevnej spojenej školy,Bardejov
Gymnázium sv. Uršule ako organizačná zložka Spojenej školy sv. Uršule,Bratislava-Staré Mesto
Gymnázium sv. Vincenta de Paul ako organizačná zložka Katolíckej spojenej školy sv. Vincenta de Paul,Levice
Gymnázium Ármina Vámbéryho s vyučovacím jazykom maďarským - Vámbéry Ármin Gimnázium,Dunajská Streda
Gymnázium Štefana Moysesa a Stredná odborná škola agrotechnická - Agrotechnikai Szakközépiskola,Moldava nad Bodvou
Gymnázium-Gimnázium a Stredná odborná škola techniky a služieb-Műszaki és Szolgáltatóipari Szakközépiskola,Veľké Kapušany
Hotelová akadémia,Humenné
Jazyková škola ako súčasť Gymnázia,Nitra
Jazyková škola ako súčasť Gymnázia Jána Hollého,Trnava
Jazyková škola ako súčasť Gymnázia Martina Kukučína a Strednej odbornej školy,Revúca
Jazyková škola pri Gymnáziu Jána Papánka,Bratislava-Staré Mesto
Katolícke gymnázium Štefana Moysesa,Banská Bystrica
Konzervatórium,Bratislava-Staré Mesto
Obchodná akadémia,Ružomberok
Obchodná akadémia - Kereskedelmi Akadémia,Veľký Meder
Obchodná akadémia Milana Hodžu,Trenčín
Obchodná akadémia Petra Zaťka,Liptovský Mikuláš
Obchodná akadémia a Stredná odborná škola obchodu a služieb,Rožňava
"Obchodná akadémia a Stredná odborná škola obchodu a služieb, SNP 5, Zlaté Moravce",Zlaté Moravce
"Obchodná akadémia ako organizačná zložka Gymnázia Augusta Horislava Škultétyho, Obchodnej akadémie a Strednej odbornej š",Modrý Kameň
"Obchodná akadémia ako organizačná zložka Gymnázia, Obchodnej akadémie a Strednej odbornej školy technickej",Detva
Obchodná akadémia ako organizačná zložka Spojenej školy,Partizánske
Obchodná akadémia pre žiakov s telesným postihnutím internátna ako organizačná zložka spojenej školy,Slovenská Ľupča
Odborné učilište,Martin
Odborné učilište ako organizačná zložka Spojenej školy internátnej,Kysucké Nové Mesto
Odborné učilište ako súčasť Reedukačného centra,Hlohovec
Odborné učilište internátne,Ladce
Odborné učilište internátne ako organizačná zložka Spojenej školy,Hlohovec
Odborné učilište internátne ako organizačná zložka Spojenej školy internátnej,Valaská
Odborné učilište pre žiakov s telesným postihnutím internátne ako organizačná zložka Spojenej školy internátnej,Humenné
Odborné učilište pre žiakov so sluchovým postihnutím ako organizačná zložka Spojenej školy internátnej,Bratislava-Ružinov
Odborné učilište pri Reedukačnom centre,Bystričany
Odborné učilište sv. Klementa Hofbauera,Podolínec
Odborné učilište sv. Klementa Hofbauera internátne ako organizačná zložka Spojenej školy sv. Klementa Hofbauera internát,Podolínec
Piaristické gymnázium sv. Jozefa Kalazanského ako organizačná zložka Piaristickej spojenej školy sv. Jozefa Kalazanského,Nitra
Prvé slovenské literárne gymnázium,Revúca
Stredná odborná škola,Myjava
Stredná odborná škola - Szakközépiskola ako organizačná zložka spojenej školy,Rimavská Sobota
Stredná odborná škola Jána Antonína Baťu,Partizánske
Stredná odborná škola agropotravinárska a technická,Kežmarok
"Stredná odborná škola ako organizačná zložka Gymnázia Augusta Horislava Škultétyho, Obchodnej akadémie a Strednej odborn",Modrý Kameň
Stredná odborná škola ako organizačná zložka Spojenej školy,Prešov
Stredná odborná škola automobilová a podnikania,Senec
Stredná odborná škola dopravná,Prešov
Stredná odborná škola dopravy a služieb,Holíč
Stredná odborná škola drevárska,Topoľčany
Stredná odborná škola ekonomická a pedagogická s vyučovacím jazykom maďarským - Közgazdasági és Pedagógiai Szakközépisko,Senec
Stredná odborná škola elektrotechnická,Bratislava-Vajnory
Stredná odborná škola gastronómie a služieb,Prešov
Stredná odborná škola hotelových služieb a dopravy,Lučenec
Stredná odborná škola hotelových služieb a obchodu,Nové Zámky
Stredná odborná škola informačných technológií sv. Jána Bosca,Nová Dubnica
Stredná odborná škola informačných technológií sv. Maximiliána Kolbeho,Nitra
Stredná odborná škola lesnícka,Prešov
Stredná odborná škola lesnícka ako organizačná zložka Spojenej školy,Bijacovce
Stredná odborná škola lesnícka ako organizačná zložka Strednej priemyselnej školy informačných technológií Ignáca Gessay,Tvrdošín
Stredná odborná škola obchodu a služieb,Trenčín
Stredná odborná škola obchodu a služieb a Stredná odborná škola potravinárska,Topoľčany
Stredná odborná škola obchodu a služieb ako organizačná zložka spojenej školy,Banská Štiavnica
"Stredná odborná škola obchodu a služieb, ako organizačná zložka Obchodnej akadémie a Strednej odborne školy obchodu a sl",Zlaté Moravce
"Stredná odborná škola obchodu, služieb a rozvoja vidieka - Kereskedelmi, Szolgáltatóipari és Vidékfejlesztési Szakközépi",Kravany nad Dunajom
Stredná odborná škola pedagogická,Modra
"Stredná odborná škola pedagogická bl. Laury ako organizačná zložka Arcibiskupského gymnázia biskupa P. Jantauscha, Stred",Trnava
Stredná odborná škola podnikania,Prešov
Stredná odborná škola podnikania a služieb,Lipany
"Stredná odborná škola polytechnická, Stredná odborná škola obchodu a služieb, Obchodná akadémia a Škola umeleckého priem",Ružomberok
Stredná odborná škola potravinárska,Nitra
Stredná odborná škola poľnohospodárstva a služieb na vidieku,Košice-Juh
Stredná odborná škola pre žiakov so sluchovým postihnutím,Bratislava-Ružinov
Stredná odborná škola pre žiakov so sluchovým postihnutím ako organizačná zložka Spojenej školy internátnej,Bratislava-Ružinov
Stredná odborná škola pri Reedukačnom centre,Tornaľa
Stredná odborná škola pri reedukačnom centre pre mládež,Hlohovec
Stredná odborná škola regionálneho rozvoja,Rakovice
Stredná odborná škola remesiel ako organizačná zložka Spojenej školy,Bardejov
Stredná odborná škola služieb,Prešov
Stredná odborná škola služieb Majstra Pavla,Levoča
Stredná odborná škola služieb ako organizačná zložka Spojenej školy,Žilina
Stredná odborná škola stavebná,Nitra
Stredná odborná škola stavebná - Építészeti Szakközépiskola,Nové Zámky
Stredná odborná škola strojnícka,Bánovce nad Bebravou
Stredná odborná škola strojnícka ako organizačná zložka Spojenej školy,Martin
Stredná odborná škola sv. Klementa Hofbauera,Podolínec
Stredná odborná škola technická,Šurany
Stredná odborná škola technická - Múszaki Szakközépiskola,Galanta
Stredná odborná škola technická - Műszaki Szakközépiskola,Komárno
"Stredná odborná škola technická, ako organizačná zložka Gymnázia, Obchodnej akadémie a Sztrednej odbornej školy technick",Detva
Stredná odborná škola vinársko - ovocinárska,Modra
Stredná odborná škola železničná,Košice-Staré Mesto
Stredná priemyselná škola,Považská Bystrica
Stredná priemyselná škola ako organizačná zložka Spojenej školy,Kysucké Nové Mesto
Stredná priemyselná škola elektrotechnická,Piešťany
Stredná priemyselná škola elektrotechnická S. A. Jedlika - Jedlik Ányos Elektrotechnikai Szakkézépiskola - ako organizač,Nové Zámky
Stredná priemyselná škola elektrotechnická ako organizačná zložka Spojenej školy,Šaľa
Stredná priemyselná škola informačných technológií a umelej inteligencie Skyro,Bratislava-Podunajské Bis
Stredná priemyselná škola potravinárska ako organizačná zložka Spojenej školy,Nitra
Stredná priemyselná škola stavebná Emila Belluša,Trenčín
Stredná priemyselná škola strojnícka a elektrotechnická,Nitra
Stredná zdravotnícka škola,Bratislava-Petržalka
Stredná zdravotnícka škola Štefana Kluberta,Levoča
Stredná športová škola,Trenčín
Súkromná hotelová akadémia,Stará Turá
Súkromná hotelová akadémia HaGMa,Bratislava-Vrakuňa
Súkromná hotelová akadémia ako organizačná zložka Súkromnej Spojenej školy EDUCO,Námestovo
Súkromná obchodná akadémia,Prievidza
Súkromná obchodná akadémia - Kereskedelmi Magánakadémia - ako organizačná zložka Súkromnej spojenej školy,Štúrovo
Súkromná stredná odborná škola,Žilina
Súkromná stredná odborná škola -  Magán Szakkozépiskola,Veľké Kapušany
Súkromná stredná odborná škola - Magán Szakközépiskola,Dunajská Streda
Súkromná stredná odborná škola EDUCO,Námestovo
Súkromná stredná odborná škola GASMO,Bratislava-Petržalka
Súkromná stredná odborná škola Johannes Senio Service,Bratislava-Petržalka
Súkromná stredná odborná škola hutnícka Železiarne Podbrezová ako organizačná zložka Súkromnej spojenej školy Železiarne,Podbrezová
Súkromná stredná odborná škola podnikateľských služieb,Komárno
Súkromná stredná športová škola,Trenčianske Teplice
Súkromná škola umeleckého priemyslu,Trenčianske Teplice
Súkromná škola umeleckého priemyslu Bohumila Baču,Bratislava-Ružinov
Súkromná škola umeleckého priemyslu ako organizačná zložka Súkromnej spojenej školy,Martin
Súkromná škola umeleckého priemyslu animovanej tvorby,Bratislava-Petržalka
Súkromné bulharské gymnázium Christa Boteva,Bratislava-Petržalka
Súkromné gymnázium,Ružomberok
Súkromné gymnázium Banskobystrické,Banská Bystrica
Súkromné gymnázium Cambridge International School,Bratislava-Devín
Súkromné gymnázium FUTURUM,Košice-Staré Mesto
Súkromné gymnázium MERCURY,Bratislava-Petržalka
Súkromné gymnázium ako organizačná zložka Súkromnej spojenej školy,Košice-Košická Nová Ves
Súkromné gymnázium Železiarne Podbrezová ako organizačná zložka Súkromnej spojenej školy Železiarne Podbrezová,Podbrezová
Súkromné hudobné a dramatické konzervatórium,Michalovce
Súkromné hudobné a dramatické konzervatórium ako organizačná zložka Súkromnej spojenej školy,Martin
Súkromné konzervatórium,Zvolen
Súkromné konzervatórium Dezidera Kardoša,Topoľčany
Súkromné odborné učilište,Stropkov
Súkromné osemročné gymnázium,Košice-Nad jazerom
Súkromné tanečné konzervatórium Dušana Nebylu,Trnava
Súkromný školský internát ako súčasť Súkromnej strednej odbornej školy s vyuč.jaz.maď.-Magán Szakközépiskola,Dolné Obdokovce
"Výdajná školská jedáleň ako súčasť Arcibiskupského gymnázia biskupa P. Jantauscha, Strednej odbornej školy pedagogickej",Trnava
Výdajná školská jedáleň ako súčasť Gymnázia - Gimnázium a Stredná odborná škola techniky a služieb,Veľké Kapušany
Výdajná školská jedáleň ako súčasť Gymnázia Ivana Kraska - Ivan Krasko Gimnázium a Obchodnej akadémie - Kereskedelmi Aka,Rimavská Sobota
Výdajná školská jedáleň ako súčasť Konzervatória,Košice-Staré Mesto
ZÁKLADNÁ ŠKOLA a gymnázium s vyučovacím jazykom maďarským -  Magyar Tannyelvű Alapiskola és Gimnázium Szepsi,Moldava nad Bodvou
Základná škola Lajosa Pongrácza s vyučovacím jazykom maďarským - Pongrácz Lajos Alapiskola a Gymnázium Juraja Szondyho s,Šahy
ŠKOLA PRE MIMORIADNE NADANÉ DETI a Gymnázium,Bratislava-Nové Mesto
Škola umeleckého priemyslu,Trenčín
Škola umeleckého priemyslu Ladislava Bielika,Levice
Školská jedáleň ako súčasť  Gymnázium a Stredná odborná škola obchodu a služieb,Sobrance
Školská jedáleň ako súčasť Gymnázia,Bardejov
Školská jedáleň ako súčasť Gymnázia - Gimnázium,Kráľovský Chlmec
Školská jedáleň ako súčasť Gymnázia - Gimnázium a Strednej odbornej školy - Szakközépiskola,Fiľakovo
Školská jedáleň ako súčasť Gymnázia Andreja Sládkoviča a Strednej odbornej školy obchodu a služieb,Krupina
Školská jedáleň ako súčasť Gymnázia Andreja Vrábla,Levice
"Školská jedáleň ako súčasť Gymnázia Augusta Horislava Škultétyho, Obchodnej akadémie a Strednej odbornej školy",Veľký Krtíš
Školská jedáleň ako súčasť Gymnázia Juraja Fándlyho,Šaľa
Školská jedáleň ako súčasť Gymnázia M. R. Štefánika,Košice-Staré Mesto
Školská jedáleň ako súčasť Gymnázia Martina Kukučína a Strednej odbornej školy,Revúca
Školská jedáleň ako súčasť Gymnázia Milana Rúfusa,Žiar nad Hronom
Školská jedáleň ako súčasť Gymnázia a Obchodnej akadémie,Trebišov
Školská jedáleň ako súčasť Gymnázia Ármina Vámberyho s vyučovacím jazykom maďarským - Vámbéry Ármin Gimnázium,Dunajská Streda
Školská jedáleň ako súčasť Strednej odbornej školy Jozefa Szakkayho - Szakkay József Szakközépiskola,Košice-Západ
Školská jedáleň ako súčasť Strednej priemyselnej školy stavebnej - Építőipari Szakközépiskola,Hurbanovo
Školská jedáleň ako súčasť Športového gymnázia Jozefa Herdu,Trnava
Školská jedáleň pri 1. súkromnom gymnáziu,Bratislava-Ružinov
Školská jedáleň pri Gymnáziu,Senec
Školská jedáleň pri Gymnáziu Jozefa Miloslava Hurbana,Čadca
Školská jedáleň pri Gymnáziu Pavla Horova,Michalovce
Školská jedáleň pri arcibiskupskom gymnáziu,Trnava
Školský internát ako súčasť Strednej priemyselnej školy stavebnej - Építőipari Szakközépiskola,Hurbanovo
Školský internát pri arcibiskupskom gymnáziu,Trnava
