name,municipality
1. súkromné gymnázium v Bratislave,Bratislava-Ružinov
"Arcibiskupské gymnázium biskupa P. Jantauscha, Stredná odborná škola pedagogická bl. Laury a Cirkevná materská škola sv.",Trnava
Bilingválne gymnázium C. S. Lewisa,Bratislava-Petržalka
Bilingválne gymnázium Milana Hodžu,Sučany
Bilingválne slovensko - španielske gymnázium,Nové Mesto nad Váhom
Cirkevná stredná odborná škola elektrotechnická P. G. Frassatiho,Bratislava-Staré Mesto
Cirkevná stredná odborná škola sv.Terézie z Lisieux,Bánovce nad Bebravou
Cirkevné gymnázium Andreja Radlinského ako organizačná zložka Cirkevnej spojenej školy,Dolný Kubín
Cirkevné gymnázium F. Fegyvernekiho s vyučovacím jazykom maďarským - Fegyverneki Ferenc Egyházi Gimnázium - ako organiza,Šahy
Cirkevné gymnázium Marianum s vyučovacím jazykom maďarským - Marianum Egyházi Gimnázium,Komárno
Cirkevné gymnázium sv. Františka z Assisi ako organizačná zložka Cirkevnej spojenej školy,Vranov nad Topľou
Cirkevné gymnázium sv. Jána Krstiteľa,Trebišov
Cirkevné gymnázium Štefana Mišíka,Spišská Nová Ves
Cirkevné konzervatórium,Bratislava-Petržalka
Elokované pracovisko ako súčasť Spojenej školy - Praktická škola,Košice-Západ
Elokované pracovisko ako súčasť Školy pre mimoriadne nadané deti a GYMNÁZIUM,Bratislava-Nové Mesto
Evanjelická praktická škola internátna ako organizačná zložka Evanjelickej spojenej školy internátnej,Červenica
Evanjelické gymnázium (Banská Bystrica),Banská Bystrica
Evanjelické gymnázium (Tisovec),Tisovec
Evanjelické gymnázium ako organizačná zložka Evanjelickej spojenej školy,Martin
Evanjelické gymnázium Jana Amosa Komenského,Košice-Staré Mesto
Evanjelické gymnázium Juraja Tranovského ako organizačná zložka Evanjelickej spojenej školy,Liptovský Mikuláš
Evanjelické kolegiálne gymnázium ako organizačná zložka Evanjelickej spojenej školy,Prešov
Evanjelické lýceum,Bratislava-Petržalka
Gymnázium  sv. Jána Pavla II. ako organizačná zložka Spojenej školy sv. Jána Pavla II.,Poprad
Gymnázium (Bratislava-Dúbravka),Bratislava-Dúbravka
Gymnázium (Bratislava-Karlova Ves),Bratislava-Karlova Ves
Gymnázium (Bratislava-Rača),Bratislava-Rača
Gymnázium (Bratislava-Ružinov),Bratislava-Ružinov
Gymnázium (Bratislava-Staré Mesto),Bratislava-Staré Mesto
Gymnázium (Bytča),Bytča
Gymnázium (Dubnica nad Váhom),Dubnica nad Váhom
Gymnázium (Košice-Juh),Košice-Juh
Gymnázium (Košice-Sever),Košice-Sever
Gymnázium (Košice-Staré Mesto),Košice-Staré Mesto
Gymnázium (Košice-Vyšné Opátske),Košice-Vyšné Opátske
Gymnázium (Košice-Západ),Košice-Západ
Gymnázium (Lipany),Lipany
Gymnázium (Malacky),Malacky
Gymnázium (Michalovce),Michalovce
Gymnázium (Myjava),Myjava
Gymnázium (Nitra),Nitra
Gymnázium (Nové Zámky),Nové Zámky
Gymnázium (Partizánske),Partizánske
Gymnázium (Pezinok),Pezinok
Gymnázium (Poprad),Poprad
Gymnázium (Prešov),Prešov
Gymnázium (Púchov),Púchov
Gymnázium (Ružomberok),Ružomberok
Gymnázium (Snina),Snina
Gymnázium (Spišská Nová Ves),Spišská Nová Ves
Gymnázium (Stropkov),Stropkov
Gymnázium (Topoľčany),Topoľčany
Gymnázium (Vráble),Vráble
Gymnázium (Šurany),Šurany
Gymnázium (Žilina),Žilina
Gymnázium - Gimnázium,Kráľovský Chlmec
Gymnázium - Gimnázium a Stredná odborná škola - Szakközépiskola,Fiľakovo
"Gymnázium - Gimnázium, Gymnázium Jána Amosa Komenského - Comenius Gimnázium a Stredná odborná škola techniky, služieb a",Štúrovo
Gymnázium a Obchodná akadémia,Trebišov
Gymnázium a Stredná odborná škola obchodu a služieb,Sobrance
Gymnázium a Stredná odborná škola techniky a služieb (Gelnica),Gelnica
Gymnázium a Stredná odborná škola techniky a služieb (Spišská Nová Ves),Spišská Nová Ves
"Gymnázium a Stredná odborná škola techniky a služieb - Műszaki és Szolgáltatóipari Szakközépiskola, Mládežnícka 22, Šahy",Šahy
Gymnázium a Stredná športová škola Jozefa Herdu,Trnava
GYMNÁZIUM a Základná škola s vyučovacím jazykom maďarským - Márai Sándor Magyar Tanítási Nyelvű Gimnázium és Alapiskola,Košice-Staré Mesto
Gymnázium ako organizačná zložka Spojenej školy (Bratislava-Petržalka),Bratislava-Petržalka
Gymnázium ako organizačná zložka Spojenej školy (Giraltovce),Giraltovce
Gymnázium ako organizačná zložka Spojenej školy (Liptovský Hrádok),Liptovský Hrádok
Gymnázium ako organizačná zložka Spojenej školy (Poprad),Poprad
Gymnázium ako organizačná zložka Spojenej školy (Rajec),Rajec
Gymnázium ako organizačná zložka Spojenej školy (Spišská Stará Ves),Spišská Stará Ves
Gymnázium ako organizačná zložka Spojenej školy Juraja Turza,Turzovka
Gymnázium ako organizačná zložka Spojenej školy sv. Jozefa,Nové Mesto nad Váhom
Gymnázium ako organizačná zložka Spojenej školy Tarasa Ševčenka s vyučovacím jazykom ukrajinským,Prešov
Gymnázium Alberta Einsteina,Bratislava-Petržalka
Gymnázium Andreja Kmeťa,Banská Štiavnica
Gymnázium Andreja Sládkoviča,Banská Bystrica
Gymnázium Andreja Sládkoviča a Stredná odborná škola obchodu a služieb,Krupina
Gymnázium Andreja Vrábla,Levice
Gymnázium Angely Merici,Trnava
Gymnázium Antona Bernoláka (Námestovo),Námestovo
Gymnázium Antona Bernoláka (Senec),Senec
Gymnázium arm. gen. Ludvíka Svobodu,Humenné
"Gymnázium Augusta Horislava Škultétyho, Obchodná akadémia a Stredná odborná škola",Veľký Krtíš
Gymnázium bilingválne,Žilina
Gymnázium bl. biskupa Gojdiča ako organizačná zložka Spojenej školy bl. biskupa Gojdiča,Prešov
"Gymnázium bl. Sáry Salkaházi s vyučovacím jazykom maďarským - Boldog Salkaházi Sára Egyházi Gimnázium, ako organizačná z",Moldava nad Bodvou
Gymnázium Boženy Slančíkovej - Timravy a Obchodná akadémia,Lučenec
Gymnázium Cyrila Daxnera,Vranov nad Topľou
Gymnázium Dominika Tatarku,Považská Bystrica
Gymnázium duklianskych hrdinov,Svidník
Gymnázium Federica Garcíu Lorcu,Bratislava-Podunajské Bis
Gymnázium Františka Víťazoslava Sasinka,Skalica
Gymnázium Františka Švantnera,Nová Baňa
Gymnázium Hansa Selyeho s vyučovacím jazykom maďarským - Selye János Gimnázium,Komárno
Gymnázium Imre Madácha s vyučovacím jazykom maďarským - Madách Imre Magyar Tanítási Nyelvű Gimnázium,Šamorín
Gymnázium Ivana Horvátha,Bratislava-Ružinov
Gymnázium Ivana Kraska - Ivan Krasko Gimnázium a Obchodná akadémia - Kereskedelmi Akadémia,Rimavská Sobota
Gymnázium Ivana Kupca,Hlohovec
Gymnázium Janka Francisciho - Rimavského,Levoča
Gymnázium Janka Jesenského,Bánovce nad Bebravou
Gymnázium Janka Kráľa,Zlaté Moravce
Gymnázium Janka Matúšku,Galanta
Gymnázium Jozefa Cígera Hronského ako organizačná zložka Spojenej školy,Vrútky
Gymnázium Jozefa Gregora Tajovského,Banská Bystrica
Gymnázium Jozefa Lettricha,Martin
Gymnázium Jozefa Miloslava Hurbana,Čadca
Gymnázium Juraja Fándlyho,Šaľa
"Gymnázium Juraja Szondyho s vyučovacím jazykom maďarským - Szondy György Gimnázium, ako org.zložka Základná škola Lajosa",Šahy
Gymnázium Jána Adama Raymana,Prešov
Gymnázium Jána Baltazára Magina,Vrbové
Gymnázium Jána Chalupku,Brezno
Gymnázium Jána Hollého,Trnava
Gymnázium Jána Papánka,Bratislava-Staré Mesto
