name,country,municipality
AMBIS vysoká škola,SK,
Academia Rerum Civilium – Vysoká škola politických a společenských věd,CZ,
Akademie Huspol,CZ,
Akademie múzických umění v Praze,CZ,Praha
Akademie výtvarných umění v Praze,CZ,Praha
Akadémia Policajného zboru v Bratislave,SK,Bratislava
"Akadémia médií, odborná vysoká škola mediálnej a marketingovej komunikácie v Bratislave",SK,Bratislave
Akadémia ozbrojených síl generála M. R. Štefánika,SK,Liptovský Mikuláš
Akadémia ozbrojených síl generála Milana Rastislava Štefánika,SK,
Akadémia umení v Banskej Bystrici,SK,Banskej Bystrici
Akreditační komise,CZ,
Ambis Univerzita,CZ,
Archip,CZ,
B.I.B.S.,CZ,
Bratislavská medzinárodná škola liberálnych štúdií,SK,
CEVRO Univerzita,CZ,
Collegium Humanum,CZ,
Collegium Humanum – Varšavská univerzita manažmentu,SK,
Ekonomická univerzita v Bratislave,SK,Bratislava
Filmová akademie Miroslava Ondříčka v Písku,CZ,Písku
International ART CAMPUS Prague,CZ,
Janáčkova akademie múzických umění,CZ,
Jihočeská univerzita v Českých Budějovicích,CZ,České Budějovice
Katolícka univerzita v Ružomberku,SK,Ružomberok
Masarykova univerzita,CZ,Brno
Mendelova univerzita v Brně,CZ,Brno
Metropolitní univerzita Praha,CZ,
Miss Academia,CZ,
Moravská vysoká škola Olomouc,CZ,
Národní akreditační úřad pro terciární vzdělávání,CZ,
Ostravská univerzita,CZ,
Paneurópska vysoká škola,SK,
Panevropská univerzita,CZ,
Pražská vysoká škola psychosociálních studií,CZ,
Prešovská univerzita v Prešove,SK,Prešove
Rada vysokých škol,CZ,
Reforma vysokých škol v Česku,CZ,Česku
Seznam fakult podle vysokých škol v Česku,CZ,Česku
Seznam fakult vysokých škol v Česku podle oborů,CZ,Česku podle oborů
Seznam vysokých škol v Česku,CZ,Česku
Seznam československých stranických a politických škol,CZ,
Slezská univerzita v Opavě,CZ,Opava
Slovenská poľnohospodárska univerzita v Nitre,SK,Nitra
Slovenská technická univerzita v Bratislave,SK,Bratislava
Slovenská zdravotnícka univerzita v Bratislave,SK,Bratislava
Soukromá vysoká škola ekonomická Znojmo,CZ,
Soukromá vysoká škola ekonomických studií,CZ,
Stredoeurópska vysoká škola v Skalici,SK,Skalici
Studentské unie v Česku,CZ,Česku
Středočeský vysokoškolský institut,CZ,
Technická univerzita v Košiciach,SK,Košice
Technická univerzita v Liberci,CZ,Liberec
Technická univerzita vo Zvolene,SK,Zvolen
Trenčianska univerzita Alexandra Dubčeka v Trenčíne,SK,Trenčíne
Trnavská univerzita v Trnave,SK,Trnave
Ukrajinský vyšší pedagogický institut,CZ,
Unicorn University,CZ,
University College Prague,CZ,
University of New York in Prague,CZ,
Univerzita Alexandra Dubčeka v Trenčíne,SK,Trenčín
Univerzita Hradec Králové,CZ,Hradec Králové
Univerzita J. Selyeho,SK,
Univerzita J. Selyeho v Komárne,SK,Komárno
Univerzita Jana Amose Komenského Praha,CZ,
Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,CZ,Ústí nad Labem
Univerzita Karlova,CZ,Praha
Univerzita Komenského v Bratislave,SK,Bratislava
Univerzita Konštantína Filozofa v Nitre,SK,Nitra
Univerzita Mateja Bela v Banskej Bystrici,SK,Banská Bystrica
Univerzita Ostrava,CZ,Ostrava
Univerzita Palackého v Olomouci,CZ,Olomouc
Univerzita Pardubice,CZ,Pardubice
Univerzita Pavla Jozefa Šafárika v Košiciach,SK,Košice
Univerzita Tomáše Bati ve Zlíně,CZ,Zlín
Univerzita prešovská,SK,Prešov
Univerzita sv. Alžbety v Bratislave,SK,Bratislava
Univerzita sv. Cyrila a Metoda v Trnave,SK,Trnava
Univerzita třetího věku,CZ,
Univerzita v Trnave,SK,Trnava
Univerzita v Žiline,SK,Žilina
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,SK,Košice
Uzavření českých vysokých škol 17. listopadu 1939,CZ,
Veterinární univerzita Brno,CZ,
Vojenská katedra,CZ,
Vysokoškolské katolické hnutí,CZ,
Vysoká škola DTI,SK,
Vysoká škola Danubius,SK,Bratislava
Vysoká škola Goethe Uni Bratislava,SK,
Vysoká škola Jagiellonská,CZ,
Vysoká škola Karla Engliše,CZ,
Vysoká škola Karlovy Vary,CZ,
Vysoká škola NEWTON,CZ,
Vysoká škola Sting,CZ,
Vysoká škola aplikované psychologie,CZ,
Vysoká škola aplikovaného práva,CZ,
Vysoká škola bezpečnostného manažérstva v Košiciach,SK,Košice
Vysoká škola báňská – Technická univerzita Ostrava,CZ,
Vysoká škola chemicko-technologická v Praze,CZ,Praha
Vysoká škola ekonomická v Praze,CZ,Praha
Vysoká škola ekonomie a managementu,CZ,
Vysoká škola ekonómie a manažmentu verejnej správy v Bratislave,SK,Bratislave
Vysoká škola evropských a regionálních studií,CZ,
Vysoká škola finanční a správní,CZ,
Vysoká škola logistiky,CZ,
Vysoká škola manažmentu v Trenčíne,SK,Trenčíne
Vysoká škola mezinárodních a veřejných vztahů Praha,CZ,
Vysoká škola múzických umení v Bratislave,SK,Bratislava
Vysoká škola obchodní a hotelová,CZ,
Vysoká škola polytechnická Jihlava,CZ,
Vysoká škola technická a ekonomická v Prešove,SK,Prešove
Vysoká škola technická a ekonomická v Českých Budějovicích,CZ,Českých Budějovicích
Vysoká škola tělesné výchovy a sportu Palestra,CZ,
Vysoká škola uměleckoprůmyslová v Praze,CZ,Praze
Vysoká škola výtvarných umení v Bratislave,SK,Bratislava
Vysoká škola zdravotníctva a sociálnej práce sv. Alžbety v Bratislave,SK,Bratislave
Vysoké učení technické v Brně,CZ,Brno
Západomoravská vysoká škola Třebíč,CZ,
Západočeská univerzita v Plzni,CZ,Plzeň
Česká asociace doktorandek a doktorandů,CZ,
Česká konference rektorů,CZ,
Česká zemědělská univerzita v Praze,CZ,Praha
České vysoké učení technické v Praze,CZ,Praha
Škoda Auto Vysoká škola,CZ,
Žilinská univerzita v Žiline,SK,Žiline
